num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_fall,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc
864,25,Diciembre,Viernes,Ignorado,Guatemala,Urbano,Hombre,22,30-34,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
656,25,Agosto,Martes,0,Alta Verapaz,Rural,Hombre,43,40-44,Mayor,Pick up,Rojo,1986,Embarranco
116,19,Febrero,Jueves,0,Quiché,Rural,Mujer,1,Menos de 15,Menor,Pick up,Negro,1987,Volco
170,7,Marzo,Sábado,0,Escuintla,Rural,Hombre,28,35-39,Mayor,Motocicleta,Rojo,1988,Empotro
291,19,Abril,Domingo,0,Zacapa,Urbano,Hombre,17,25-29,Menor,Motocicleta,Negro,1991,Colisión
392,4,Junio,Jueves,0,Petén,Urbano,Mujer,34,35-39,Mayor,Pick up,Azul,1994,Colisión
217,23,Marzo,Lunes,0,Jutiapa,Rural,Hombre,20,30-34,Mayor,Automovil,Verde,1998,Empotro
458,30,Junio,Martes,0,Quiché,Rural,Hombre,24,30-34,Mayor,Microbus,Anaranjado,2004,Volco
829,9,Diciembre,Miércoles,0,Zacapa,Rural,Hombre,19,25-29,Mayor,Motocicleta,Gris,2005,Embarranco
692,16,Septiembre,Miércoles,0,Escuintla,Rural,Hombre,43,40-44,Mayor,Motocicleta,Rojo,2006,Empotro
772,3,Noviembre,Martes,0,Jutiapa,Rural,Hombre,21,30-34,Mayor,Automovil,Negro,2006,Empotro
169,7,Marzo,Sábado,0,Quetzaltenango,Urbano,Hombre,19,25-29,Mayor,Motocicleta,Rojo,2008,Colisión
56,26,Enero,Lunes,0,Jalapa,Rural,Hombre,28,35-39,Mayor,Pick up,Rojo,IGNORADO,Embarranco
104,15,Febrero,Domingo,0,Retalhuleu,Rural,Hombre,30,35-39,Mayor,Motocicleta,Rojo,IGNORADO,Embarranco
187,10,Marzo,Martes,0,Quiché,Rural,Hombre,30,35-39,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
456,30,Junio,Martes,0,Guatemala,Urbano,Hombre,21,30-34,Mayor,Motocicleta,Rojo,IGNORADO,Empotro
469,5,Julio,Domingo,0,Izabal,Rural,Mujer,32,35-39,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
781,8,Noviembre,Domingo,0,Jalapa,Rural,Hombre,46,45-49,Mayor,Pick up,Rojo,IGNORADO,Empotro
246,6,Abril,Lunes,0,Chiquimula,Rural,Hombre,13,20-24,Menor,Pick up,Blanco,IGNORADO,Embarranco
809,4,Diciembre,Viernes,0,Escuintla,Rural,Hombre,40,40-44,Mayor,Motocicleta,Azul,IGNORADO,Embarranco
84,7,Febrero,Sábado,0,Sololá,Rural,Hombre,35,40-44,Mayor,Microbus,Gris,IGNORADO,Empotro
431,20,Junio,Sábado,0,Escuintla,Rural,Hombre,38,40-44,Mayor,Automovil,Gris,IGNORADO,Colisión
847,20,Diciembre,Domingo,0,Huehutenango,Rural,Hombre,73,55 y más,Mayor,Camioneta,Gris,IGNORADO,Volco
207,19,Marzo,Jueves,0,Escuintla,Rural,Hombre,33,35-39,Mayor,Automovil,Verde,IGNORADO,Empotro
320,28,Abril,Martes,0,Sacatepéquez,Urbano,Hombre,38,40-44,Mayor,Automovil,Verde,IGNORADO,Empotro
711,26,Septiembre,Sábado,0,Chiquimula,Rural,Mujer,21,30-34,Mayor,Automovil,Verde,IGNORADO,Volco
50,25,Enero,Domingo,0,Guatemala,Rural,Hombre,18,25-29,Mayor,Automovil,Beige,IGNORADO,Empotro
399,6,Junio,Sábado,0,Sacatepéquez,Rural,Hombre,20,30-34,Mayor,Motocicleta,Ignorado,IGNORADO,Colisión
446,25,Junio,Viernes,0,Guatemala,Urbano,Hombre,32,35-39,Mayor,Motocicleta,Ignorado,IGNORADO,Colisión
660,27,Agosto,Jueves,0,Guatemala,Urbano,Hombre,19,25-29,Mayor,Pick up,Ignorado,IGNORADO,Colisión
710,26,Septiembre,Sábado,0,Guatemala,Urbano,Hombre,25,35-39,Mayor,Automovil,Ignorado,IGNORADO,Empotro
88,8,Febrero,Domingo,1,El Progreso,Rural,Hombre,22,30-34,Mayor,Automovil,Gris,1997,Colisión
13,3,Enero,Sábado,1,Guatemala,Urbano,Hombre,28,35-39,Mayor,Automovil,Anaranjado,2002,Empotro
683,8,Septiembre,Martes,1,Huehutenango,Rural,Hombre,35,40-44,Mayor,Pick up,Negro,2005,Embarranco
239,2,Abril,Jueves,1,Quetzaltenango,Rural,Hombre,23,30-34,Mayor,Motocicleta,Azul,2007,Empotro
361,19,Mayo,Martes,1,Zacapa,Rural,Hombre,31,35-39,Mayor,Motocicleta,Rojo,2008,Empotro
433,20,Junio,Sábado,1,Izabal,Rural,Hombre,36,40-44,Mayor,Motocicleta,Rojo,2009,Embarranco
241,4,Abril,Sábado,1,Guatemala,Rural,Hombre,35,40-44,Mayor,Pick up,Rojo,IGNORADO,Colisión
323,1,Mayo,Viernes,1,Escuintla,Rural,Hombre,24,30-34,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
